"","X0.2","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2","X7.2","X8.2","X9.2","X10.2","X11.2","X12.2","X0.3","X1.3","X2.3","X3.3","X4.3","X5.3","X6.3","X7.3","X8.3","X9.3","X10.3","X11.3","X12.3"
"1966",0,0.000154610694323198,0.00233259356824661,0.0113634514983137,0.0365799150090518,0.0796296667309078,0.134437409098429,0.192513848081853,0.245789229358203,0.290408347128046,0.3258158817551,0.353066996347077,0.395286524819112,0,2.62254791821904e-05,0.00144444140868144,0.00796710084511149,0.0284209898082836,0.0675059991359151,0.120050661802214,0.178196850482968,0.233202201439466,0.280134419991458,0.317783423501517,0.346936846006297,0.392261882708764
"1966.25",0,0.00906060167792051,0.0481509453887773,0.118459363974002,0.141876857188234,0.0808257258157683,0.0335185186448891,0.0237018374869283,0.0255279686640003,0.0289406471932421,0.0319498244946464,0.0343156522551124,0.0380211996897172,0,0.0032916420226177,0.0348122069500285,0.100362650022023,0.146122580238701,0.0988136474989183,0.0407763014549963,0.0243064812286881,0.0247535087947818,0.0280988060107719,0.0312581312606615,0.0337818268893818,0.0377387120662619
"1966.5",0,0.0113002600489274,0.112003899496192,0.111075182386079,0.0513242628901997,0.0122443162096179,0.00442685846661245,0.00332585985087081,0.0031740472601677,0.00315261741690116,0.00315093372461829,0.00315234469204534,0.00315598134122902,0,0.00320151015753181,0.101412710586609,0.115124038247342,0.0686294602776613,0.0175865243722389,0.00525200233647432,0.00343776337014133,0.00318991872528224,0.00315471391130991,0.00315083902760153,0.00315192653419371,0.0031556802503185
"1966.75",0,0.00287310545488608,0.00940048985915837,0.0209060939531076,0.0440236206238707,0.0521019308147788,0.0534874223182826,0.0537353190527444,0.0537950385784923,0.053814504633522,0.0538234314265924,0.0538281909904909,0.0538342909192158,0,0.000948929318386653,0.00884992917062849,0.0157450080166969,0.0394344350101579,0.0511455382928882,0.0533312317208238,0.0537035001934521,0.0537859446600837,0.0538112513100561,0.0538218533880043,0.0538274920995845,0.0538337779537369
"1967",0,0.000125723486415827,0.00263817699607418,0.016355851489444,0.0515494596113495,0.104750253912949,0.170382074650952,0.242090840012861,0.308753926073197,0.364755337828369,0.409226307276003,0.443459505237157,0.49649829409135,0,2.03927764670072e-05,0.00148383730147961,0.0111510078446711,0.040655870604397,0.0902590516059178,0.15295061372764,0.224270871835534,0.29297220501697,0.351855376489199,0.399138161714554,0.435758818616952,0.492694585866176
"1967.25",0,0.0125974242862286,0.0613069410215373,0.12826355120472,0.137574654996015,0.0730343976910473,0.0302871161118402,0.021839188906913,0.023539739748708,0.0265833960751641,0.0292554312486086,0.0313539064808155,0.0346397593382626,0,0.00459949083377379,0.0459458731450688,0.112540522331174,0.145539881676641,0.0902103936012065,0.0366678454131367,0.0223301750186454,0.0228426065785259,0.0258346388352403,0.0286415506670685,0.0308804596916284,0.0343893726048936
"1967.5",0,0.0107913312492573,0.112677013025611,0.113099252420358,0.0539281215159741,0.0134279318938819,0.00456332459991572,0.00319108581246386,0.00298992668036702,0.00296127446495946,0.00295967546862262,0.00296227488362176,0.00296843440072337,0,0.00281450585744136,0.101909673577125,0.116753473924755,0.0712948822199836,0.0191864651798269,0.00554960066365448,0.00333601715657639,0.00301130497699036,0.00296397733826241,0.00295935395577921,0.00296153814092916,0.00296794657499758
"1967.75",0,0.00102555923783498,0.00362891092513871,0.0167599862268715,0.0444827888488013,0.0540906126130763,0.0556459068365372,0.0559153461031475,0.0559815497659101,0.0560047879243624,0.0560162620764749,0.0560231165583192,0.0560317028686483,0,0.00041518048330074,0.00311287993508307,0.0107652927539218,0.0389393695104276,0.0529831197593046,0.055474808334211,0.0558807818476907,0.0559713334961558,0.0560007739283524,0.0560139960566239,0.0560215150112714,0.056031291927475
"1968",0,0.000208123997931096,0.00307200524318234,0.0146644141257005,0.0426623202729954,0.0843560515099643,0.136088629207424,0.19277788216067,0.245509242410807,0.289814048354318,0.324997765411704,0.352080951584652,0.394038948634803,0,3.57246753503658e-05,0.00190129068482112,0.010429448005821,0.0340770895093814,0.0729851169536908,0.122323369101621,0.178684131230441,0.233025814875411,0.279608023605834,0.317015552872628,0.345986609100967,0.391032878527529
"1968.25",0,0.000842816808889169,0.0118871711994629,0.058824151987506,0.0922170299582823,0.0595257805147021,0.0233109305518055,0.0138057212033764,0.0134871632040012,0.0147261367429783,0.0159588896936519,0.016951827840966,0.0185195555231594,0,0.000275447928648958,0.00646908532512681,0.0447355302667714,0.0896998614015355,0.0717396809110347,0.0292950758214897,0.0147529839992762,0.0132900754831464,0.0143949153560519,0.0156712678342193,0.0167268751098721,0.0183999258615593
"1968.5",0,0.00849902435571641,0.116033315221733,0.112876972133347,0.0515392527748446,0.0118645374111465,0.00386568611468783,0.00272658023885588,0.00256920933433778,0.00254800531310145,0.00254735796004745,0.0025497318550261,0.00255502565651288,0,0.000959043477215436,0.105683984495194,0.117274963928668,0.0691400573959244,0.0173008267946651,0.00471528161534769,0.00284280468628438,0.00258552958521667,0.00254988662830899,0.00254697851045183,0.00254908378157285,0.00255461456472657
"1968.75",0,0.00239127390070874,0.00793793029842215,0.0133216195882767,0.0226715215760226,0.0255623649451051,0.0259963301699674,0.0260828068178489,0.0261105592637607,0.0261229436851014,0.0261300431011529,0.0261346658920351,0.0261412295811955,0,0.000740273513277165,0.00754509477984593,0.0110556104198907,0.0208999116634282,0.0252487388414501,0.025947109367347,0.0260701999317082,0.0261057585671257,0.0261205892145537,0.0261286109384654,0.0261337001311149,0.0261406823864824
"1969",0,0.000189562766250076,0.00227665424954496,0.00834200362003789,0.0221323866392129,0.0425930063031921,0.0680045071844331,0.0957197473350856,0.121446723169018,0.143050523057805,0.160204367254059,0.173408323506792,0.193865692006196,0,3.32995845784925e-05,0.00150984930066553,0.00624390859741812,0.0179089425394132,0.0370033352928698,0.0612548159361719,0.0888385667558627,0.115358555288242,0.138074084094817,0.156312678141869,0.170437695717908,0.192399810602781
"1969.25",0,0.00227825602274221,0.0215741689913193,0.0906887143837286,0.134548445802676,0.0816422842558125,0.0262184372642063,0.0102423942151847,0.00791598076893331,0.00818795420329196,0.00877871789519181,0.00930245615221334,0.0101538515673643,0,0.000788994727550086,0.0128811040184311,0.0704158222907073,0.132568158818403,0.100399611042266,0.0355136813716375,0.0121322766421826,0.0080650735749472,0.0080567952837524,0.0086323267361358,0.00918204389641683,0.010088609279537
"1969.5",0,0.0155671649754913,0.13286871002163,0.133138063529091,0.0604007229171695,0.0124316891367328,0.00276723349767447,0.00139479679260893,0.0012045457308882,0.00117797034178887,0.00117627468396276,0.00117843472874161,0.0011837040184753,0,0.005389144210497,0.119852802939675,0.137948188470793,0.0815567878382266,0.019010813266544,0.00379186816213911,0.00153483261699127,0.00122443606423512,0.00118049005676348,0.00117603973004922,0.00117781990497507,0.00118328513056679
"1969.75",0,0.00462006026380573,0.0147227103411157,0.0200493331450608,0.0274245877683661,0.0294875752983325,0.0298195578933905,0.0298993893546679,0.0299275197877871,0.0299405485879529,0.0299481227781664,0.0299528357864377,0.0299596483852103,0,0.00152126905261541,0.0141380939852691,0.017982032496917,0.0261208682683112,0.0292636398562435,0.0297780527717824,0.0298869716949443,0.0299225458055691,0.0299380494349115,0.0299464649400345,0.0299518220558008,0.029959119870111
"1970",0,0.000104256539046415,0.00128384244949696,0.00489824095641827,0.0145538238599919,0.0302781203836531,0.0494866265667238,0.069750433302725,0.0883445881122946,0.103919663431666,0.11627884655125,0.125791266533763,0.140527810789902,0,1.8195944886334e-05,0.000847123114378253,0.00360387007316145,0.0114343719485689,0.0259559512196753,0.0444647024682533,0.0647539430274133,0.0839506820469879,0.100332073523464,0.113475393015072,0.123650927067391,0.139471540625814
"1970.25",0,0.0125695202157809,0.0579078560890173,0.106950501500141,0.101904061442265,0.0468195610773069,0.0145344853252793,0.00643401013275485,0.00535776175789972,0.00554480576387906,0.00587297053659982,0.00615824041117776,0.00661917087267065,0,0.00460361199713973,0.0444148833710773,0.0967364614790547,0.111422176571562,0.0601436521815321,0.0194781506498739,0.00735760139984088,0.00541445533624086,0.00546873099387176,0.00579265028426979,0.00609286167707358,0.00658386935183462
"1970.5",0,0.0106922166207314,0.134552831454552,0.132818691265783,0.0617323558620174,0.0141267585391865,0.00390800537213952,0.00234275502022988,0.00210923068673691,0.00207167782857804,0.0020657891551152,0.00206563047405612,0.00206776235433439,0,0.00174215281640652,0.122206477725554,0.137546529567894,0.0823738799774705,0.0208288659590989,0.00503586367026696,0.00250837896659748,0.00213485821153775,0.00207590587786254,0.00206633995664471,0.00206549362429948,0.00206756114091458
