"","X0.2","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2","X7.2","X8.2","X9.2","X10.2","X11.2","X12.2","X0.3","X1.3","X2.3","X3.3","X4.3","X5.3","X6.3","X7.3","X8.3","X9.3","X10.3","X11.3","X12.3"
"1966",0,0.000154610694323198,0.00233259356824661,0.0113634514983137,0.0365799150090518,0.0796296667309078,0.134434060303472,0.192512320937903,0.24578351365935,0.290406441472154,0.325811965568746,0.353059485379255,0.395271215968904,0,2.62254791821904e-05,0.00144444140868144,0.00796710084511149,0.0284209898082836,0.0675059991359151,0.120048639241061,0.178195846209098,0.233197895050983,0.280121372783383,0.317780072361238,0.346931057291102,0.392247294670252
"1966.25",0,0.00906060167792051,0.0481494003399302,0.118457458044437,0.141872599366268,0.0808257258157683,0.0335185186448891,0.0237018374869283,0.0255279686640003,0.0289406471932421,0.0319498244946464,0.0343156522551124,0.0380211996897172,0,0.00329184565965131,0.0348122069500285,0.100362650022023,0.146117723976514,0.0988136474989183,0.0407763014549963,0.0243064812286881,0.0247535087947818,0.0280988060107719,0.0312581312606615,0.0337818268893818,0.0377387120662619
"1966.5",0,0.0113002600489274,0.112002414082112,0.111073750953871,0.0513223507398977,0.0122443162096179,0.00442723171936219,0.00332606782771953,0.00317423634402352,0.00315280390883726,0.00315112001369817,0.00315253115111498,0.00315616823880303,0,0.00320170259009284,0.101412710586609,0.115122359763002,0.0686294602776613,0.0175865243722389,0.00525253274136988,0.00343798587144456,0.00319010974072123,0.00315490065599764,0.00315102530527542,0.00315211294287639,0.00315586711156694
"1966.75",0,0.00287325983128432,0.00940048985915837,0.0209060939531076,0.0440224738182057,0.0520999199501828,0.0534852266037678,0.0537330890233487,0.0537928002252905,0.0538122635622966,0.053821189108137,0.053825948006837,0.0538320470828264,0,0.000948929318386653,0.00884992917062849,0.0157450080166969,0.0394344350101579,0.0511436483282582,0.0533290574312212,0.053701274589937,0.0537837075758443,0.0538090106932535,0.0538196112900649,0.0538252492136167,0.0538315341890662
"1967",0,0.000125723486415827,0.00263817699607418,0.016355851489444,0.0515475192414479,0.10474915073247,0.170382074650952,0.242085572163556,0.308751127716139,0.364746109450282,0.40920728410654,0.443453143180801,0.496484122044241,0,2.03927764670072e-05,0.00148383730147961,0.0111510078446711,0.040655870604397,0.0902590516059178,0.152944660186668,0.224267383489257,0.292970191172874,0.351848027200996,0.399121892537733,0.435754137692797,0.49268116151999
"1967.25",0,0.0125974242862286,0.0613069410215373,0.128260835423708,0.137570943462934,0.0730343976910473,0.0302871161118402,0.021839188906913,0.023539739748708,0.0265833960751641,0.0292554312486086,0.0313539064808155,0.0346397593382626,0,0.00459989457441681,0.0459445513998134,0.112539005010578,0.145535111197294,0.0902103936012065,0.0366678454131367,0.0223301750186454,0.0228426065785259,0.0258346388352403,0.0286415506670685,0.0308804596916284,0.0343893726048936
"1967.5",0,0.0107913312492573,0.112675487504999,0.113097701313801,0.0539258645332582,0.0134279318938819,0.00456372184938869,0.00319127697034062,0.00299009409802378,0.00296143863346486,0.00295983945677181,0.00296243916501987,0.00296859937807871,0,0.00281465389759907,0.101909673577125,0.116751687136274,0.0712948822199836,0.0191864651798269,0.00555019490823582,0.00333622643080367,0.00301147484038627,0.002964141811867,0.00295951790767625,0.0029617023391853,0.00296811149717856
"1967.75",0,0.00102555923783498,0.00362915941621686,0.0167599862268715,0.0444816018611988,0.0540883327335705,0.0556433992793648,0.0559127975070008,0.0559789910127582,0.0560022255991149,0.056013697986137,0.0560205514131269,0.0560291364016463,0,0.00041518048330074,0.00311306166980433,0.0107652927539218,0.0389393695104276,0.0529809926803873,0.0554723265897581,0.0558782385428903,0.0559687763122837,0.0559982122203793,0.0560114323149414,0.0560189501125734,0.056028725523746
"1968",0,0.000208123997931096,0.00307218215089289,0.0146644141257005,0.0426612868797928,0.0843560515099643,0.136085093110579,0.192776343630545,0.245503561654861,0.289812167073558,0.324993910155698,0.352073572416823,0.394023940588259,0,3.57246753503658e-05,0.00190129068482112,0.010429448005821,0.0340770895093814,0.0729851169536908,0.122321170410262,0.178683111962784,0.23302152601783,0.279595109628087,0.317012252006752,0.345980918101446,0.391018575232186
"1968.25",0,0.000842816808889169,0.0118871711994629,0.058824151987506,0.0922170299582823,0.0595257805147021,0.0233109305518055,0.0138057212033764,0.0134871632040012,0.0147261367429783,0.0159588896936519,0.016951827840966,0.0185195555231594,0,0.000275447928648958,0.00646990129818422,0.044734320737217,0.0896998614015355,0.0717396809110347,0.0292950758214897,0.0147529839992762,0.0132900754831464,0.0143949153560519,0.0156712678342193,0.0167268751098721,0.0183999258615593
"1968.5",0,0.00849902435571641,0.11603157695128,0.112875434537384,0.0515373136903923,0.0118645374111465,0.00386596887520326,0.00272671902860115,0.00256920933433778,0.00254800531310145,0.00254735796004745,0.0025497318550261,0.00255502565651288,0,0.000959043477215436,0.10568283697361,0.117273141353068,0.0691400573959244,0.0173008267946651,0.00471570651017497,0.00284295576921696,0.00258552958521667,0.00254988662830899,0.00254697851045183,0.00254908378157285,0.00255461456472657
"1968.75",0,0.00239127390070874,0.00793793029842215,0.0133216195882767,0.0226715215760226,0.0255623649451051,0.0259963301699674,0.0260828068178489,0.0261105592637607,0.0261229436851014,0.0261300431011529,0.0261346658920351,0.0261412295811955,0,0.000740273513277165,0.00754509477984593,0.0110556104198907,0.0208999116634282,0.0252487388414501,0.025947109367347,0.0260701999317082,0.0261057585671257,0.0261205892145537,0.0261286109384654,0.0261337001311149,0.0261406823864824
"1969",0,0.000189562766250076,0.00227665424954496,0.00834200362003789,0.0221323866392129,0.0425919784607276,0.0680045071844331,0.0957197473350856,0.121444593775017,0.143046105886466,0.160197046708244,0.173408323506792,0.193864105836156,0,3.32995845784925e-05,0.00150984930066553,0.00624466681596819,0.0179089425394132,0.0370033352928698,0.0612548159361719,0.0888385667558627,0.115356861539882,0.138070312106443,0.156306118197743,0.170437695717908,0.192398288355367
"1969.25",0,0.00227825602274221,0.0215741689913193,0.0906887143837286,0.134545084660087,0.0816422842558125,0.0262184372642063,0.0102423942151847,0.00791598076893331,0.00818795420329196,0.00877871789519181,0.00930245615221334,0.0101538515673643,0,0.000788994727550086,0.0128811040184311,0.0704158222907073,0.132565012646103,0.100399611042266,0.0355136813716375,0.0121322766421826,0.0080650735749472,0.0080567952837524,0.0086323267361358,0.00918204389641683,0.010088609279537
"1969.5",0,0.0155671649754913,0.132865531931278,0.133134856620327,0.0604007229171695,0.0124316891367328,0.00276737652617839,0.00139479679260893,0.0012045457308882,0.00117797034178887,0.00117627468396276,0.00117843472874161,0.0011837040184753,0,0.0053897035583105,0.119850795175201,0.137944431793576,0.0815567878382266,0.019010813266544,0.00379213999129759,0.00153483261699127,0.00122443606423512,0.00118049005676348,0.00117603973004922,0.00117781990497507,0.00118328513056679
"1969.75",0,0.00462046772092194,0.0147227103411157,0.0200493331450608,0.0274245877683661,0.0294875752983325,0.0298195578933905,0.0298993893546679,0.0299275197877871,0.0299405485879529,0.0299481227781664,0.0299528357864377,0.0299596483852103,0,0.00152126905261541,0.0141380939852691,0.017982032496917,0.0261208682683112,0.0292636398562435,0.0297780527717824,0.0298869716949443,0.0299225458055691,0.0299380494349115,0.0299464649400345,0.0299518220558008,0.029959119870111
"1970",0,0.000104256539046415,0.00128384244949696,0.00489870043592293,0.0145538238599919,0.0302781203836531,0.0494849338149809,0.069750433302725,0.0883445881122946,0.103918598560988,0.116277091855849,0.125788776318676,0.14052373057102,0,1.8195944886334e-05,0.000847123114378253,0.00360411507453201,0.0114343719485689,0.0259559512196753,0.0444635170821599,0.0647539430274133,0.0839506820469879,0.100332073523464,0.113473818835453,0.123648620105285,0.139467595401862
"1970.25",0,0.0125695202157809,0.0579078560890173,0.106949291626955,0.101904061442265,0.0468181538324378,0.0145344853252793,0.00643481696092764,0.00535831441095536,0.00554539894944343,0.00587363851638096,0.00615897724902887,0.00662002659804321,0,0.00460401648096041,0.0444137023883634,0.0967364614790547,0.111420725152329,0.0601436521815321,0.0194781506498739,0.00735760139984088,0.00541502011467491,0.00546930751096634,0.00579329952245371,0.00609358241667872,0.00658471563631425
