"","FL1.1","FL2.1","FL3.1","FL4.1","FL5.1","FL6.1","FL7.1","FL8.1","FL9.1","FL10.1","FL11.1","FL12.1","FL13.1","FL14.1","FL1.2","FL2.2","FL3.2","FL4.2","FL5.2","FL6.2","FL7.2","FL8.2","FL9.2","FL10.2","FL11.2","FL12.2","FL13.2","FL14.2"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1.68333913743818e-06,1.06580423502787e-05,2.57417951571247e-09,1.86931644082356e-06,0,1.14913700492682e-08,1.10310824675960e-07,5.59003623148588e-06,1.05843562770450e-05,0.000104689496055968,0.00478396565209527,6.1652131167524e-06,2.06847380980567e-08,0,2.48890683600868e-11,5.45463817928978e-07,3.80648921427058e-14,4.70977822188671e-09,0,5.84313279188807e-11,5.6090376418019e-10,1.45060131913494e-07,2.7466107537659e-07,3.80544359291691e-06,0.000173905411004649,1.43711780940385e-08,1.05177618807725e-10,0
"6",0.00350224684542032,0.000196449778028031,0,0.0168015888172381,0.805929399159852,5.52467287047493e-06,7.48012687156079e-05,9.9799164387587e-05,0.000150361321503403,0.0206951899545923,0.301297582876321,0.000123699985618054,3.05363319083724e-05,0,5.35535807230815e-06,1.93662138897909e-05,0,0.000321200885286969,0.0802366920732777,6.07893342052128e-09,8.23112319605326e-08,5.9814871872249e-06,9.01379828420627e-06,0.00205785109845616,0.0300094405272949,2.04827602473213e-06,3.35962721929903e-08,0
"7",0.258482040320788,2.25886479740711e-05,0.00194490024217732,0.00178848809216843,0.40950839917096,0,0,2.75038961289015e-05,7.73448994528083e-05,0.00207475004811602,0.0070971697732025,3.52637047651371e-06,9.52998980308818e-05,0,0.00769471239184415,2.96802014103371e-06,5.79334439532704e-05,0.000109564331763230,0.0600434452756378,0,0,2.67725908563452e-06,7.53012335870736e-06,0.000303850315920103,0.00103959999279628,1.91713724242533e-07,1.52015146035958e-06,0
"8",0.687153992641579,0.000212976453749277,0.0255705522664213,1.88503107368088e-05,0.147727953980556,0,0,0.00191665668635888,0.00420410619768214,0.0073039824981329,0.0188534468808265,0.0113684876455204,0.00352065120741997,0,0.0494910708881948,3.3245215220198e-05,0.00183916474492405,1.65908511595912e-06,0.0273815314533972,0,0,0.000224499056162408,0.000492156109128872,0.00135311959926908,0.00350726846908374,0.000878684872465973,0.000110866393642816,0
"9",0.0908078420199247,0.000317494725175071,2.09186062985861e-05,0.000951843137600112,0,0.00411884725174881,0.0424142331458463,0.000606253351568851,0.00122566315237483,0.00182073862748356,0.0478011957064199,0.0106443731277457,0.00787928649924148,0,0.0121343976523835,5.25823612500323e-05,2.81507123339928e-06,0.000104473716597325,0,0.00021142374948383,0.00217488780862576,7.652932951672e-05,0.000154650466377568,0.000377410298806171,0.00999390629761215,0.00101820942016261,0.000404514192410871,0
"10",0.108863337021694,0.00105227316626087,0,1.05481517137516,2.74772345741139,0.00847926058265803,0.146237395651958,0.00188761563587636,0.0030255406873181,0.0542460184977594,0.851338560020563,0.0195029331960788,0.0584936146756698,0,0.0247026109137438,0.000199303606576358,0,0.152265604612005,0.683240040008544,0.00071392049960974,0.0123064567143475,0.000276024286070036,0.000442293302867289,0.0135070626710472,0.211615938395592,0.00243686009592883,0.00492343314652988,0
