"","FL1","FL2","FL3","FL4","FL5","FL6","FL7","FL8","FL9","FL10","FL11","FL12","FL13"
"1",1.25108521645568e-13,0.00163534570988041,3.91492581614968e-07,4.79243404788017e-06,0.00078297532405813,0.00228508722914004,3.38199182973009e-08,0.000151927596258403,8.85607590365717e-05,5.64862866278116e-17,1.43165739003048e-05,2.27378066399607e-08,0
"2",1.09034390442733e-10,0.0465704242127637,0,0,0.0411294900109095,0.00192353861330983,2.43649452871056e-06,0.00124654620484576,0.000614536018152098,0,1.75850047674896e-05,4.31003446330584e-08,0.000131069407004539
"3",1.06035286168163e-08,0.0486245700572049,0,0,0.0289573162483936,0.00148933579976776,2.35811831798987e-06,0,0.00374279745149013,7.22825400021978e-17,1.87140958959371e-07,1.0258253803324e-09,0
"4",1.17042429153292e-06,0.113629716657721,0,2.06070022324412e-05,0.00877979547375338,0.00239736719564156,0.00141746884761039,0,0.0138355742430391,3.13427826197297e-12,0.0303470549126714,1.73019713122555e-05,0
"5",2.68285556161378e-07,0.0901031047047199,5.52368835117994e-05,0.00165101707254474,0.00278865736843626,0.00580525368054577,0.00287124316288999,0.00149777428208651,0.00297659619782138,6.86868588488376e-13,0.0622552616722932,0.000177646774361912,0
"6",5.12116307232734e-07,0.0464549522961142,0,0,0.0153791010475506,0.000585308359066394,0.00160302776464656,0.0018984392450838,0.0039410673422458,0,0.000450498192364237,3.19688546461593e-06,0.00394468595545344
"7",1.64935526761091e-06,0.0197124453821514,0,0,0.00317417002794191,0.000274059768680072,3.77615251579066e-05,0,0.00640282081380377,2.82153050096142e-14,1.09809000367782e-06,9.5446592994533e-09,0
"8",5.55839998546445e-05,0.0288660358520801,0,9.36055476456641e-05,0.00048723024874404,0.000304026175066531,0.00734144939508917,0,0.0130977544791317,4.11407779400086e-10,0.0491477743059744,4.37187134954786e-05,0
"9",4.62916305076232e-06,0.0185990739357083,0.00160189666456982,0.00379573013033417,8.54636636136779e-05,0.000230766300143628,0.00743503055603796,0.00173672888805739,0.00183926452873297,5.76202307023086e-11,0.0567587618575467,0.000184688195013495,0
"10",4.40021058599881e-06,0.00468910822741465,0,0,0.000171657283357821,2.72378069012337e-05,0.00289144204195013,0.00176701780401661,0.00196005026452805,0,0.000273537956376699,3.22796187611555e-06,0.00639183247063854
"11",7.41077529924454e-06,0.00152613413507163,0,0,4.75235834801121e-06,4.34839573106919e-06,3.59562810847095e-05,0,0.00263523762893885,2.31906162901812e-13,4.63036962352279e-07,7.17633177567875e-09,0
"12",0.000220189392067385,0.000843392386039916,0,0.000110710650560918,3.46012668435356e-08,1.03836655788984e-06,0.00487030436982307,0,0.00398794416125404,2.94534505400082e-09,0.0222301629363339,2.51541464821426e-05,0
"13",2.47221413115914e-05,0.000173578542058054,0.00963406430753113,0.00199544674100212,7.69508799379781e-10,2.34987694191631e-07,0.00542941126390174,0.00110911306818436,0.000801450313374803,5.25974369994119e-10,0.0273491441149612,5.4563935349447e-05,0
